Label;Object ID;Total Intensity CSU 561;Mean Intensity CSU 561;Total Intensity CSU 488;Mean Intensity CSU 488;Total Intensity CSU 405;Mean Intensity CSU 405;Area;Parent Object ID (MO);Parent Trace ID;cell cycle
nucleus;752;2785217;19.809.509;198888;14.145.662;2966281;21.097.305;1406;844;-1;G1
nucleus;754;2370933;26.461.306;1101030;12.288.281;2376074;26.518.684;896;846;-1;S
nucleus;755;2461596;1.083.449;1455995;6.408.429;4411292;19.415.898;2272;846;-1;S
nucleus;756;2855797.8;10.687.866;1660402.1;62.140.796;5062131;18.945.101;2672;846;-1;S
nucleus;758;2517321;10.983.076;1351035;58.945.679;4394510;19.173.254;2292;848;-1;S
nucleus;759;2625130;10.883.623;1247181;51.707.336;4552615;18.874.855;2412;848;-1;S
nucleus;760;5421339;27.773.252;3845694;19.701.301;6391429;32.742.976;1952;849;-1;S
nucleus;761;4590905;2.927.873;3479576.2;22.191.174;6115126;38.999.529;1568;849;-1;S
nucleus;762;4816758;32.026.316;577163;38.375.198;3789271.8;25.194.626;1504;850;-1;G1
nucleus;763;3628287;26.065.281;201486.02;1.447.457;3944981;28.340.381;1392;850;-1;G1
nucleus;764;1401092;76.983.075;4984202;27.385.725;5898998;32.412.078;1820;851;-1;G2
nucleus;765;1424168;82.226.788;5739926;33.140.449;6626583;38.259.717;1732;851;-1;G2
nucleus;766;3593110.2;2.374.825;208737.98;13.796.298;3153728.8;20.844.209;1513;852;-1;G1
nucleus;767;2817377;31.200.188;136743;1.514.319;2864625;31.723.423;903;852;-1;G1
nucleus;768;1776641;94.906.036;3876071;20.705.508;7999994.5;42.735.015;1872;853;-1;G2
nucleus;769;2014662;93.271.387;4428330;20.501.528;8538750;3.953.125;2160;853;-1;G2
nucleus;774;3556689;21.555.691;2128586;12.900.521;5294564;32.088.267;1650;861;-1;S
nucleus;775;3040405;24.091.958;1895437;1.501.931;4511252;35.746.846;1262;861;-1;S
nucleus;776;4720539;28.924.871;1046474;6.412.218;3833864.8;23.491.819;1632;862;-1;G1
nucleus;777;4172525;27.164.875;899693;58.573.761;3752450;24.430.012;1536;862;-1;G1
nucleus;778;1690300.9;11.730.055;163646;11.356.419;4068532;28.234.087;1441;863;-1;G1
nucleus;779;1752234.9;11.415.211;175065;11.404.886;4299558;28.010.149;1535;863;-1;G1
nucleus;781;3863150;31.331.306;367530;29.807.785;3898510;31.618.086;1233;865;-1;G1
nucleus;782;3552745;28.129.414;343086;27.164.371;3840350;30.406.572;1263;865;-1;G1
nucleus;783;2311974;17.853.081;172435;13.315.443;3793429;29.292.888;1295;867;-1;G1
nucleus;784;2704644;14.959.314;232279;1.284.729;3733377.8;20.649.214;1808;867;-1;G1
nucleus;785;3299168;19.464.117;228763.98;134.964;4394731;25.927.617;1695;867;-1;G1
nucleus;786;3395479;18.274.913;250853;13.501.237;3550359;19.108.499;1858;867;-1;G1
nucleus;789;1286032;86.137.439;197868;13.253.047;3974908;2.662.363;1493;870;-1;G1
nucleus;790;1336566;8.551.286;203009;1.298.842;4094207.2;26.194.543;1563;870;-1;G1
nucleus;791;3324617;15.922.495;410013;19.636.638;3723266;17.831.733;2088;871;-1;G1
nucleus;792;3131108;16.240.187;383652;19.898.962;3640576;18.882.655;1928;871;-1;G1
nucleus;793;3384873;20.305.177;693786;41.618.835;3768855;22.608.608;1667;871;-1;G1
nucleus;794;3273620;16.525.088;718396;3.626.431;3386379;17.094.291;1981;871;-1;G1
nucleus;795;3293844.8;23.527.463;615096;43.935.428;3741452.8;26.724.663;1400;872;-1;G1
nucleus;796;2664663;28.963.728;474083;51.530.762;3141338;34.144.978;920;872;-1;G1
nucleus;797;3398614;26.887.769;351541;27.811.789;3978853;31.478.267;1264;873;-1;G1
nucleus;798;2780487;23.483.843;290474;24.533.276;3866721.2;32.658.118;1184;873;-1;G1
nucleus;799;3860917;17.174.897;1566063;69.664.722;4598830;20.457.429;2248;879;-1;S
nucleus;800;3536299;18.042.341;1381489;70.484.131;4382666;22.360.542;1960;879;-1;S
nucleus;803;2718254;23.272.722;164869;14.115.497;3862608;33.070.273;1168;882;-1;G1
nucleus;804;2908119;22.439.189;179649;13.861.806;3878636;29.927.747;1296;882;-1;G1
nucleus;805;5108575;18.455.835;367981;13.294.112;8324313.5;30.073.386;2768;883;-1;G1
nucleus;806;2136509;76.742.419;8521743;30.609.709;8008127;28.764.824;2784;883;-1;G2
nucleus;808;2470326;17.119.376;187751;13.011.157;4057289;28.117.041;1443;885;-1;G1
nucleus;809;2441227;19.359.453;172926;13.713.402;3907159;30.984.607;1261;885;-1;G1
nucleus;810;4569470;30.361.926;229493.98;1.524.877;4270261;28.373.828;1505;886;-1;G1
nucleus;811;4315983;2.646.219;239119;14.660.883;4270557;26.183.672;1631;886;-1;G1
nucleus;813;3178541;12.343.849;346991;13.475.378;6773559;26.305.083;2575;888;-1;G1
nucleus;814;1506365;67.701.801;6594890;29.639.956;6825785;30.677.686;2225;888;-1;G2
nucleus;815;1587018;11.878.877;157703;11.804.117;3854555;2.885.146;1336;889;-1;G1
nucleus;816;1646245;13.998.682;142283;12.098.895;3518971;29.923.223;1176;889;-1;G1
nucleus;817;3456667;14.671.761;293099;12.440.535;4890183;20.756.294;2356;890;-1;G1
nucleus;818;2142522;13.424.324;196617;12.319.361;3109811;19.485.032;1596;890;-1;G1
nucleus;819;2835677;17.461.066;418032;25.740.887;3694178.2;22.747.402;1624;891;-1;G1
nucleus;820;3541435;16.831.915;532634;25.315.305;3901775;18.544.558;2104;891;-1;G1
nucleus;821;3757780.2;16.445.427;1510328;66.097.504;3964502;17.350.118;2285;892;-1;S
nucleus;822;4238626;16.853.384;1564281;62.198.053;4112161;16.350.541;2515;892;-1;S
nucleus;823;3519795;21.527.798;233171.98;14.261.284;4158886;25.436.611;1635;894;-1;G1
nucleus;824;3606309;21.530.203;234675;14.010.448;4434958;26.477.361;1675;894;-1;G1
nucleus;825;4609091;2.946.989;3305383;21.134.163;5334181;34.106.016;1564;894;-1;S
nucleus;826;5016400;26.485.745;3705057;19.562.075;5679179;29.985.105;1894;894;-1;S
